;Version, 1, 0
;Q vs Q\',;Q\' vs Q
;X, Y,;X, Y
;Re, Re,;Re, Re
;V, V,;V, V
;V, V,;V, V
0.9999992702454572,0,0,0.9999992702454572
0.9999991031990675,0.02,0.02,0.9999991031990675
0.9999987910136228,0.04,0.04,0.9999987910136228
0.99999820474242,0.06,0.06,0.99999820474242
0.9999971029001802,0.08,0.08,0.9999971029001802
0.9999950271228403,0.1,0.1,0.9999950271228403
0.9999911063351784,0.12,0.12,0.9999911063351784
0.9999836892472401,0.14,0.14,0.9999836892472401
0.9999696281667985,0.16,0.16,0.9999696281667985
0.999942913035338,0.18,0.18,0.999942913035338
0.9998920509734703,0.2,0.2,0.9998920509734703
0.9997950376843743,0.22,0.22,0.9997950376843743
0.9996097126812278,0.24,0.24,0.9996097126812278
0.999255255804205,0.26,0.26,0.999255255804205
0.9985765512928213,0.28,0.28,0.9985765512928213
0.9972745616013038,0.3,0.3,0.9972745616013038
0.9947647798070722,0.32,0.32,0.9947647798070722
0.9898613584075311,0.34,0.34,0.9898613584075311
0.9798664916845437,0.36,0.36,0.9798664916845437
0.956974729004426,0.3800000000000001,0.3800000000000001,0.956974729004426
0.8686095396256737,0.4000000000000001,0.4000000000000001,0.8686095396256737
0.5670576786809636,0.4200000000000001,0.4200000000000001,0.5670576786809636
0.2630882510751371,0.4400000000000001,0.4400000000000001,0.2630882510751371
0.06153023773038578,0.4600000000000001,0.4600000000000001,0.06153023773038578
0.02014246408030584,0.4800000000000001,0.4800000000000001,0.02014246408030584
0.009451855324139719,0.5000000000000001,0.5000000000000001,0.009451855324139719
0.004796244805732344,0.5200000000000001,0.5200000000000001,0.004796244805732344
0.002520236384758977,0.5400000000000001,0.5400000000000001,0.002520236384758977
0.001349053781762551,0.5600000000000002,0.5600000000000002,0.001349053781762551
0.0007316660664350987,0.5800000000000002,0.5800000000000002,0.0007316660664350987
0.0003990986109655777,0.6000000000000002,0.6000000000000002,0.0003990986109655777
0.0002180291776696214,0.6200000000000002,0.6200000000000002,0.0002180291776696214
0.0001188366137166977,0.6400000000000002,0.6400000000000002,0.0001188366137166977
6.439570418952698e-05,0.6600000000000003,0.6600000000000003,6.439570418952698e-05
3.458729507550281e-05,0.6800000000000003,0.6800000000000003,3.458729507550281e-05
1.83719671407588e-05,0.7000000000000003,0.7000000000000003,1.83719671407588e-05
9.640015744269929e-06,0.7200000000000003,0.7200000000000003,9.640015744269929e-06
4.997492530611281e-06,0.7400000000000003,0.7400000000000003,4.997492530611281e-06
2.563593784451886e-06,0.7600000000000003,0.7600000000000003,2.563593784451886e-06
1.305193515578535e-06,0.7800000000000004,0.7800000000000004,1.305193515578535e-06
6.627043171462181e-07,0.8000000000000004,0.8000000000000004,6.627043171462181e-07
3.381336599768606e-07,0.8200000000000004,0.8200000000000004,3.381336599768606e-07
1.755425823169938e-07,0.8400000000000004,0.8400000000000004,1.755425823169938e-07
9.462548129790333e-08,0.8600000000000004,0.8600000000000004,9.462548129790333e-08
5.457890244574209e-08,0.8800000000000004,0.8800000000000004,5.457890244574209e-08
3.488681262004601e-08,0.9000000000000005,0.9000000000000005,3.488681262004601e-08
2.531230970508559e-08,0.9200000000000005,0.9200000000000005,2.531230970508559e-08
2.077442995694826e-08,0.9400000000000005,0.9400000000000005,2.077442995694826e-08
1.876154948439614e-08,0.9600000000000005,0.9600000000000005,1.876154948439614e-08
1.802812286553585e-08,0.9800000000000005,0.9800000000000005,1.802812286553585e-08
1.79589204643614e-08,1,1,1.79589204643614e-08
